epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8385,1.31459,2.96838,1.1899,0.6422,0.87028,0.76187,0.48222,1.19801,2.44744,1.09875,0.000664151,0.000664151,0.000664151
2,52.9739,1.40535,2.30344,1.1787,0.78632,0.78063,0.80235,0.50244,1.21749,2.26427,1.17378,0.00130886,0.00130886,0.00130886
3,77.464,1.35144,1.8886,1.19742,0.74434,0.77273,0.81142,0.50626,1.17774,1.89336,1.06489,0.00193157,0.00193157,0.00193157
4,104.185,1.39644,1.76683,1.20041,0.78262,0.80303,0.83215,0.58825,1.15255,1.56426,1.04962,0.001901,0.001901,0.001901
5,128.22,1.3505,1.66833,1.17376,0.95182,0.83333,0.89171,0.65104,1.02492,1.43108,1.02985,0.001868,0.001868,0.001868
6,152.216,1.25275,1.36633,1.14346,0.85681,0.90668,0.91771,0.59941,1.09086,1.33173,1.03344,0.001835,0.001835,0.001835
7,176.075,1.24101,1.21908,1.1121,0.92096,0.81818,0.90587,0.62248,1.10815,1.02671,1.02195,0.001802,0.001802,0.001802
8,200.184,1.22062,1.21083,1.12026,0.90881,0.92424,0.93868,0.67768,0.9286,0.89407,1.00911,0.001769,0.001769,0.001769
9,223.971,1.17183,1.09745,1.09409,0.98354,0.90516,0.94984,0.66662,1.01411,0.86392,1.01702,0.001736,0.001736,0.001736
10,247.985,1.15329,1.01762,1.09044,0.92101,0.88338,0.94133,0.67794,0.97318,0.88799,0.97029,0.001703,0.001703,0.001703
11,271.621,1.21199,1.09143,1.10446,0.97208,0.89394,0.94417,0.66064,1.09041,0.75953,0.99474,0.00167,0.00167,0.00167
12,296.061,1.17527,0.96354,1.10362,0.98267,0.89394,0.94481,0.7047,0.95117,0.74902,0.94065,0.001637,0.001637,0.001637
13,320.277,1.09472,0.90882,1.05784,0.96747,0.90129,0.95613,0.69126,0.8686,0.69802,0.95456,0.001604,0.001604,0.001604
14,344.669,1.07187,0.86923,1.05895,0.99128,0.90909,0.95422,0.71938,0.93495,0.70264,0.92844,0.001571,0.001571,0.001571
15,369.119,1.03345,0.83779,1.0381,0.95318,0.9255,0.94586,0.7369,0.83841,0.67039,0.92507,0.001538,0.001538,0.001538
16,393.159,1.0267,0.83239,1.02127,0.99209,0.93939,0.95333,0.72092,0.91234,0.62551,0.93485,0.001505,0.001505,0.001505
17,417.367,1.02077,0.79995,1.02359,0.96824,0.92369,0.95508,0.74502,0.87256,0.60489,0.94068,0.001472,0.001472,0.001472
18,442.213,0.95471,0.78174,1.01045,0.96093,0.93939,0.97523,0.73258,0.83867,0.62908,0.92627,0.001439,0.001439,0.001439
19,467.152,1.00619,0.79583,1.01045,0.95448,0.95302,0.97277,0.738,0.80889,0.60112,0.91982,0.001406,0.001406,0.001406
20,492.017,1.01178,0.78285,1.02926,0.99922,0.92424,0.9723,0.7263,0.903,0.6331,0.94409,0.001373,0.001373,0.001373
21,516.339,0.97182,0.74676,0.98877,0.9946,0.92424,0.97488,0.7456,0.80869,0.62606,0.89394,0.00134,0.00134,0.00134
22,541.417,0.89829,0.69953,0.98124,0.96672,0.90909,0.9598,0.7595,0.78078,0.54517,0.9017,0.001307,0.001307,0.001307
23,566.157,0.91076,0.70142,0.9967,0.95025,0.90909,0.96112,0.76432,0.77636,0.58483,0.8884,0.001274,0.001274,0.001274
24,591.322,0.922,0.71354,0.99913,0.96726,0.93939,0.96143,0.74404,0.84847,0.58709,0.88553,0.001241,0.001241,0.001241
25,616.353,0.91365,0.69178,0.98057,0.9858,0.92424,0.98063,0.76766,0.83298,0.53931,0.92375,0.001208,0.001208,0.001208
26,640.919,0.89203,0.70325,0.97113,0.96916,0.95227,0.98027,0.77704,0.73778,0.52841,0.87359,0.001175,0.001175,0.001175
27,665.188,0.86279,0.67863,0.96914,0.99566,0.93939,0.98045,0.76858,0.76234,0.50963,0.8746,0.001142,0.001142,0.001142
28,689.793,0.87683,0.66444,0.97216,0.96983,0.97429,0.98427,0.79161,0.71251,0.48988,0.86309,0.001109,0.001109,0.001109
29,713.995,0.86385,0.65947,0.97465,0.96343,0.9697,0.99192,0.78597,0.70227,0.50449,0.87364,0.001076,0.001076,0.001076
30,739.174,0.83355,0.64346,0.95496,0.99646,0.90909,0.98083,0.78044,0.71575,0.47035,0.86097,0.001043,0.001043,0.001043
31,763.516,0.80682,0.59224,0.95239,0.97612,0.95455,0.9711,0.77863,0.70964,0.48974,0.85097,0.00101,0.00101,0.00101
32,788.717,0.83438,0.61213,0.95436,0.98434,0.95227,0.97211,0.78751,0.69952,0.50563,0.85611,0.000977,0.000977,0.000977
33,813.686,0.83863,0.61338,0.96197,0.99843,0.95455,0.98271,0.7907,0.73049,0.47441,0.86364,0.000944,0.000944,0.000944
34,838.184,0.79355,0.61528,0.9455,1,0.97746,0.98562,0.79776,0.72218,0.46987,0.85822,0.000911,0.000911,0.000911
35,862.925,0.85999,0.63265,0.9544,0.93649,0.98485,0.98247,0.8142,0.6741,0.47081,0.85157,0.000878,0.000878,0.000878
36,888.998,0.80964,0.61575,0.95351,0.98428,0.94854,0.98474,0.82937,0.61612,0.42214,0.83712,0.000845,0.000845,0.000845
37,914.962,0.80403,0.5931,0.93724,0.99848,0.95455,0.98833,0.82547,0.61369,0.42674,0.84026,0.000812,0.000812,0.000812
38,939.845,0.79165,0.55855,0.94304,1,0.96503,0.99207,0.81404,0.64235,0.41668,0.8447,0.000779,0.000779,0.000779
39,965.107,0.78731,0.57277,0.94894,0.98433,0.95163,0.98529,0.82194,0.59896,0.4278,0.84231,0.000746,0.000746,0.000746
40,990.52,0.78755,0.56766,0.94165,0.95577,0.98217,0.9871,0.82799,0.67721,0.45014,0.84787,0.000713,0.000713,0.000713
41,1016.33,0.72679,0.56071,0.91444,0.99107,0.9697,0.99,0.81664,0.65824,0.43428,0.84548,0.00068,0.00068,0.00068
42,1041.91,0.78596,0.55723,0.94521,0.99547,0.9697,0.98585,0.84685,0.60808,0.40359,0.83531,0.000647,0.000647,0.000647
43,1066.97,0.76316,0.55269,0.92687,0.98477,0.98007,0.98533,0.83502,0.62215,0.40651,0.84116,0.000614,0.000614,0.000614
44,1092.99,0.7299,0.52642,0.90681,0.98051,0.9697,0.98395,0.82842,0.59172,0.40832,0.83874,0.000581,0.000581,0.000581
45,1118.29,0.73124,0.53022,0.92782,0.997,0.9697,0.98507,0.83304,0.6047,0.41148,0.84016,0.000548,0.000548,0.000548
46,1143.88,0.73031,0.53335,0.9195,1,0.98457,0.98609,0.84676,0.58703,0.39106,0.82607,0.000515,0.000515,0.000515
47,1168.85,0.69524,0.50881,0.91062,0.96974,0.97111,0.99112,0.83755,0.60626,0.39539,0.8294,0.000482,0.000482,0.000482
48,1194.93,0.71318,0.50113,0.91151,0.9846,0.96886,0.98794,0.84774,0.56495,0.37656,0.82068,0.000449,0.000449,0.000449
49,1220.85,0.69623,0.5094,0.90205,0.97013,0.98405,0.98554,0.83161,0.61016,0.3952,0.82004,0.000416,0.000416,0.000416
50,1246.77,0.68483,0.47903,0.90621,0.99007,0.95455,0.98927,0.84765,0.55312,0.37779,0.81787,0.000383,0.000383,0.000383
